path, name1, source1, url1, name2, source2, url2, name3, source3, url3,
"mod\answer\BGM\hidebu20.ogg.wav","Wrong Color ","Higurashi Daybreak [Disc 2] ","CDOg_OhZQSc",
"mod\answer\BGM\hidebu22.ogg.wav","Way Back ","Higurashi Daybreak [Disc 2] ","XytiyIWNrl0",
"mod\answer\BGM\hidebu23.ogg.wav","Motemichi Kaku Katari ki ","Higurashi Daybreak [Disc 2] ","dQtk70ih48M",
"mod\answer\BGM\hidebu25.ogg.wav","Magatama of Fuwarazu (1) ","Higurashi Daybreak [Disc 2] ","xuLT7FO-sHM",
"mod\answer\BGM\higurashi.ogg.wav","BSFX Cicadas (GIN)","","",
"mod\answer\BGM\higurashi_soundscape.ogg.wav","Festivals (Shiukusai⧸祝祭) ","Higurashi no Naku Koro ni Kai ","zLJW4lBlNAY",
"mod\answer\BGM\higurashi_utu.ogg.wav","Utu ","Higurashi no Naku Koro ni Kai ","4DhtzrwhVyo",
"mod\answer\BGM\higurasi.ogg.wav","BSFX Cicadas (GIN)","","",
"mod\answer\BGM\hig_sample_kyouki.ogg.wav","Insanity (Kyoki ⧸ 狂気) ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","qsywLEgelUo",
"mod\answer\BGM\hitoe_2.ogg.wav","Single (Hitoe⧸一重) ","Higurashi no Naku Koro ni Kai ","scj4OQ_FfZE",
"mod\answer\BGM\hm01_01.ogg.wav","安息の時間","","",
"mod\answer\BGM\hm01_02.ogg.wav","大逆テン？！","","",
"mod\answer\BGM\hm01_04.ogg.wav","ぽかぽか散歩道","","",
"mod\answer\BGM\hm01_05.ogg.wav","ちょこっとCITY TIME","","",
"mod\answer\BGM\hm01_06.ogg.wav","TRICK or TREAT","","",
"mod\answer\BGM\hm01_07.ogg.wav","夜鈴の調べ","","",
"mod\answer\BGM\hm02_08.ogg.wav","黒い道化師","","",
"mod\answer\BGM\hm02_10.ogg.wav","神楽舞","","",
"mod\answer\BGM\hm02_11.ogg.wav","DEAD END Symphony","","",
"mod\answer\BGM\hm02_12.ogg.wav","忍び寄る気配","","",
"mod\answer\BGM\hm02_13.ogg.wav","月光蝶","","",
"mod\answer\BGM\hm03_14.ogg.wav","迷い子たちの帰宅","","",
"mod\answer\BGM\hm04_18.ogg.wav","旧き想い","","",
"mod\answer\BGM\hm05_21.ogg.wav","償いのコトバ","","",
"mod\answer\BGM\hm10_54.ogg.wav","iru","","",
"mod\answer\BGM\instict.ogg.wav","Near-sightedness to parallel －태동胎動－","","",
"mod\answer\BGM\instict2.ogg.wav","Rain - Higurashi no Naku Koro ni Kai ","Higurashi no Naku Koro ni Kai ","mSAF8g8xWFw",
"mod\answer\BGM\iru.ogg.wav","iru","","",
"mod\answer\BGM\it_move2.ogg.wav","Squall ","Higurashi no Naku Koro ni Kai ","7vNgSJmuCLw",
"mod\answer\BGM\it_moves.ogg.wav","Near-sightedness to parallel －고동鼓動－","","",
"mod\answer\BGM\iwakannnohatuga.ogg.wav","REPLACEMENT for Germination of Discomfort (New)","","",
"mod\answer\BGM\jikuu.ogg.wav","BSFX Mangled String Instrument (GIN)","","",
"mod\answer\BGM\kaze.ogg.wav","BSFX Slow Phasor Wind (New)","","",
"mod\answer\BGM\kaze_lp.ogg.wav","BSFX Slow Muted Phasor Wind (New)","","",
"mod\answer\BGM\keihou.ogg.wav","BSFX Alarm (New)","","",
"mod\answer\BGM\liberating.ogg.wav","Liberating","","",
"mod\answer\BGM\livescene.ogg.wav","conviction","","",
"mod\answer\BGM\live_2.ogg.wav","LIVE","","",
"mod\answer\BGM\live_scene.ogg.wav","Conviction ","Higurashi no Naku Koro ni Kai ","RaIFoIsoAY8",
"mod\answer\BGM\lsys13.ogg.wav","BSFX Insects 2 (GIN)","","",
"mod\answer\BGM\mati.ogg.wav","BSFX Car and Traffic (GIN)","","",
"mod\answer\BGM\maturi_01_ver2.ogg.wav","Festival (祭⧸Matsuri) ","Higurashi no Naku Koro ni Kai ","sIQffl3TtEo",
"mod\answer\BGM\mienai.ogg.wav","보이지 않는 무언가에 무서워하는 밤 見えない何かにおびえる夜 -2nd Edition-","","",
"mod\answer\BGM\mion.ogg.wav","msysmi REPLACEMENT Upbeat Rock Music (New)","","",
"mod\answer\BGM\msys044.ogg.wav","what is wished","","",
"mod\answer\BGM\msys06.ogg.wav","Silence ","Higurashi no Naku Koro ni ","StjLCsfIbqQ",
"mod\answer\BGM\msys32.ogg.wav","Dancers #5 ","Higurashi no Naku Koro ni ","nQe2zT8nicI",
"mod\answer\BGM\m_denwa8k.ogg.wav","BSFX Old Fashioned Phone Ringing (New)","","",
"mod\answer\BGM\nazo.ogg.wav","Ancient Times (Inishie⧸古) ","Higurashi no Naku Koro ni Kai ","PWf0dbHXUmI",
"mod\answer\BGM\omake2.ogg.wav","You (M.Box) ","Higurashi no Naku Koro ni Kai ","QiJnstjBA9Q",
"mod\answer\BGM\omake_01.ogg.wav","C-examination ","Higurashi no Naku Koro ni Kai ","sPUZTL05tuQ",
"mod\answer\BGM\pros.ogg.wav","Pros ","Higurashi no Naku Koro ni Kai ","jw8ozfMGkGI",
"mod\answer\BGM\rain.ogg.wav","BSFX Rain (GIN)","","",
"mod\answer\BGM\rika.ogg.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\answer\BGM\samayoi.ogg.wav","Wandering Words Lead to Heaven ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","U8_YBSIbXR0",
"mod\answer\BGM\search_and.ogg.wav","Search and Destroy ","Higurashi no Naku Koro ni Kai ","Xvh5lbVQX0g",
"mod\answer\BGM\search_and_destroy.ogg.wav","Search and Destroy ","Higurashi no Naku Koro ni Kai ","Xvh5lbVQX0g",
"mod\answer\BGM\semi.ogg.wav","BSFX Insects 1 (GIN)","","",
"mod\answer\BGM\semi_r.ogg.wav","BSFX Creepy Cicadas (GIN)","","",
