path, name1, source1, url1,
"mod\question\OGBGM\lsys20.wav","BSFX Car and Traffic (GIN)","","",
"mod\question\OGBGM\lsys21.wav","BSFX Train (GIN)","","",
"mod\question\OGBGM\lsys22.wav","BSFX Birds (GIN)","","",
"mod\question\OGBGM\lsys23.wav","BSFX Rain (GIN)","","",
"mod\question\OGBGM\lsys24.wav","BSFX Typing (GIN)","","",
"mod\question\OGBGM\lsys25.wav","BSFX Creepy Phasor (GIN)","","",
"mod\question\OGBGM\lsys26.wav","BSFX Water (GIN)","","",
"mod\question\OGBGM\lsys27.wav","BSFX Windy Rain (GIN)","","",
"mod\question\OGBGM\lsys28.wav","BSFX Drums - Tata Start (GIN)","","",
"mod\question\OGBGM\lsys29.wav","BSFX Car and Traffic (GIN)","","",
"mod\question\OGBGM\lsys30.wav","BSFX Drippy Rain (GIN)","","",
"mod\question\OGBGM\lsys31.wav","BSFX Jump Scare Knock (GIN)","","",
"mod\question\OGBGM\lsys32.wav","BSFX Alarm - this track is never used (GIN)","","",
"mod\question\OGBGM\msys01.wav","Paris no Gogo (Afternoon in Paris) ","Higurashi no Naku Koro ni ","DEM-rr7zm9g",
"mod\question\OGBGM\msys02.wav","Hello! ","Higurashi no Naku Koro ni ","KC5S3T68n-w",
"mod\question\OGBGM\msys03.wav","Sutakorasassa (Helter Skelter) ","Higurashi no Naku Koro ni ","WY_-MK0XBGc",
"mod\question\OGBGM\msys04.wav","Digital Network ","Higurashi no Naku Koro ni ","WABneXoH9ls",
"mod\question\OGBGM\msys05.wav","Orenji iro no Toki (Orange colored Time) ","Higurashi no Naku Koro ni ","Yan1F5U63r8",
"mod\question\OGBGM\msys06.wav","Silence ","Higurashi no Naku Koro ni ","StjLCsfIbqQ",
"mod\question\OGBGM\msys07.wav","Doukutsu (Cave) ","Higurashi no Naku Koro ni ","C5NjBlR3Y58",
"mod\question\OGBGM\msys08.wav","Mazoku Kenkyuusho (Demonic Institute) ","Higurashi no Naku Koro ni ","d11-trxvJx4",
"mod\question\OGBGM\msys09.wav","Seijaku (Quietness) ","Higurashi no Naku Koro ni ","9IReJdqR-Hc",
"mod\question\OGBGM\msys11.wav","BSFX Cicadas (GIN)","","",
"mod\question\OGBGM\msys12.wav","BSFX Insects 1 (GIN)","","",
"mod\question\OGBGM\msys13.wav","BSFX Insects 2 (GIN)","","",
"mod\question\OGBGM\msys14.wav","Asagiri (Morning Fog) ","Higurashi no Naku Koro ni ","lnBTX88qHP4",
"mod\question\OGBGM\msys15.wav","Silver Mirror ","Higurashi no Naku Koro ni ","qTxmYXt2nfE",
"mod\question\OGBGM\msys16.wav","BSFX Creepy Cicadas (GIN)","","",
"mod\question\OGBGM\msys17.wav","Gear ","Higurashi no Naku Koro ni ","MX1hS7PwgRU",
"mod\question\OGBGM\msys18.wav","Dawn ","Higurashi no Naku Koro ni ","D4Vd1350-a8",
"mod\question\OGBGM\msys19.wav","Theme of owner ","Higurashi no Naku Koro ni ","Og3m-0CsePA",
"mod\question\OGBGM\msys20.wav","Fascism ","Higurashi no Naku Koro ni ","GhKrTag5Rbc",
"mod\question\OGBGM\msys21.wav","Rainy Days ","Higurashi no Naku Koro ni ","m18qsZ8jDyg",
"mod\question\OGBGM\msys22.wav","Dancers #1 ","Higurashi no Naku Koro ni ","127rv27P6AI",
"mod\question\OGBGM\msys23.wav","Dancers #7 ","Higurashi no Naku Koro ni ","OVFNCdodmTA",
"mod\question\OGBGM\msys24.wav","Snow #3 ＂First snow＂ ","Higurashi no Naku Koro ni ","QYQH4UjGuvY",
"mod\question\OGBGM\msys25.wav","Snow #4 ＂Frozen to death＂ ","Higurashi no Naku Koro ni ","5G_DfhL8XP0",
"mod\question\OGBGM\msys26.wav","Sunrise ","Higurashi no Naku Koro ni ","DvBwbtRxE0A",
"mod\question\OGBGM\msys27.wav","Tell a thing -piano solo ver.- (Radiata Alice Version) ","Higurashi no Naku Koro ni (07th_mod) ","XUNOms16TdY",
"mod\question\OGBGM\msys28.wav","Lie lies-lies lie ","Higurashi no Naku Koro ni ","9D1MewtrV1M",
"mod\question\OGBGM\msys29.wav","Heigen wo Iku (Going to the Plains) ","Higurashi no Naku Koro ni ","3DpmpxF_VzQ",
"mod\question\OGBGM\msys30.wav","Meditation (GIN)","","",
"mod\question\OGBGM\msys31.wav","Days of children #3 ","Higurashi no Naku Koro ni ","F8iQ9urzH-8",
"mod\question\OGBGM\msys32.wav","Dancers #5 ","Higurashi no Naku Koro ni ","nQe2zT8nicI",
"mod\question\OGBGM\msysmi.wav","Spring Step (Mion) ","Higurashi no Naku Koro ni ","8gkVtW1QV6k",
"mod\question\OGBGM\msysre.wav","Lunch Time (Rena) ","Higurashi no Naku Koro ni ","oxvlQSktJpY",
"mod\question\OGBGM\msysri.wav","Baby's Walk (Rika) ","Higurashi no Naku Koro ni ","9kdlDI_Rb4A",
"mod\question\OGBGM\msyssa.wav","Small Town (Satoko) ","Higurashi no Naku Koro ni ","vCRrht6YcLk",
"mod\rei\BGM\03_cele.wav","daily passing by(celesta) ","Higurashi no Naku Koro ni Kai ","V_uVKBZ1_74",
"mod\rei\BGM\1.wav","1 Upbeat Melodica","","",
"mod\rei\BGM\4.wav","spinning seesaw ","Higurashi Daybreak [Disc 2] ","4IuDgaMyKLA",
"mod\rei\BGM\addse15.wav","BSFX Clock Tick (New)","","",
"mod\rei\BGM\amber.wav","Amber ","Higurashi no Naku Koro ni Kai ","da89qvaDZtc",
"mod\rei\BGM\ame.wav","BSFX Rain (GIN)","","",
"mod\rei\BGM\ame_9.wav","BSFX Drippy Rain (GIN)","","",
"mod\rei\BGM\as_time_goes_by.wav","Over the sky ","Higurashi no Naku Koro ni Kai ","nqUEx8Hroto",
"mod\rei\BGM\attack_2dj-san_t.wav","Assault Operations ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","4QfNMaiM8Og",
"mod\rei\BGM\bellflower.wav","Bellflower ","Higurashi no Naku Koro ni Kai ","738CFl3SVio",
"mod\rei\BGM\bigbear.wav","Big Bear ","Higurashi no Naku Koro ni Kai ","i2bp9VpmSCM",
"mod\rei\BGM\birth_and_death.wav","Birth and death ","Higurashi no Naku Koro ni Kai ","7CLltCSDnY0",
"mod\rei\BGM\cafe.wav","Boy in the Windmill (Fuushagoya no Shounen⧸風車小屋の少年 ) ","Higurashi no Naku Koro ni Kai ","szDKbPLq-to",
"mod\rei\BGM\cradle_song.wav","Cradle Song ","Higurashi no Naku Koro ni Kai ","ie1GdUcudEc",
"mod\rei\BGM\demo_48khz.wav","Shadow (Kage⧸陰(かげ)) ","Higurashi no Naku Koro ni Kai ","KRdt0eQTUdg",
"mod\rei\BGM\denwa.wav","BSFX Telephone (GIN)","","",
"mod\rei\BGM\depressive_paranoia.wav","Depressive Paranoia ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","rOK2xE405_s",
"mod\rei\BGM\down.wav","BSFX Punch (New)","","",
"mod\rei\BGM\er_ver3.wav","Two, Alone (Futari. Hitori. ⧸ ふたり。ひとり。) ","Higurashi no Naku Koro ni Kai ","Wvn7gr2uxGw",
"mod\rei\BGM\fearlessnessl_e.wav","Fearlessness ","Higurashi no Naku Koro ni Kai ","HZ5IP2_MXfY",
"mod\rei\BGM\gray_2.wav","Gray ","Higurashi no Naku Koro ni Kai ","Vevn-qto7So",
"mod\rei\BGM\hgrs01.wav","Solitude ","Higurashi no Naku Koro ni Kai ","r1xK9_vUu9o",
"mod\rei\BGM\hgrs_03.wav","Frozen memories ","Higurashi no Naku Koro ni Kai ","gR6aS2m9HEE",
"mod\rei\BGM\hidebu14.wav","camouflage legend ","Higurashi Daybreak [Disc 1] ","dlMicD7gOjM",
"mod\rei\BGM\hidebu17.wav","User's Manual ","Higurashi Daybreak [Disc 2] ","A4Fz8ds-dO0",
"mod\rei\BGM\hidebu20.wav","Wrong Color ","Higurashi Daybreak [Disc 2] ","CDOg_OhZQSc",
"mod\rei\BGM\hidebu22.wav","Way Back ","Higurashi Daybreak [Disc 2] ","XytiyIWNrl0",
"mod\rei\BGM\hidebu23.wav","Motemichi Kaku Katari ki ","Higurashi Daybreak [Disc 2] ","dQtk70ih48M",
"mod\rei\BGM\hidebu25.wav","Magatama of Fuwarazu (1) ","Higurashi Daybreak [Disc 2] ","xuLT7FO-sHM",
"mod\rei\BGM\higurashi.wav","BSFX Cicadas (GIN)","","",
"mod\rei\BGM\higurasi.wav","BSFX Cicadas (GIN)","","",
"mod\rei\BGM\hitoe_2.wav","Single (Hitoe⧸一重) ","Higurashi no Naku Koro ni Kai ","scj4OQ_FfZE",
"mod\rei\BGM\hm01_01.wav","安息の時間","","",
"mod\rei\BGM\hm01_02.wav","大逆テン？！","","",
"mod\rei\BGM\hm01_04.wav","ぽかぽか散歩道","","",
"mod\rei\BGM\hm01_05.wav","ちょこっとCITY TIME","","",
"mod\rei\BGM\hm01_06.wav","TRICK or TREAT","","",
"mod\rei\BGM\hm01_07.wav","Silence ","Higurashi no Naku Koro ni ","StjLCsfIbqQ",
"mod\rei\BGM\hm02_08.wav","黒い道化師","","",
"mod\rei\BGM\hm02_10.wav","神楽舞","","",
"mod\rei\BGM\hm02_11.wav","DEAD END Symphony","","",
"mod\rei\BGM\hm02_12.wav","忍び寄る気配","","",
"mod\rei\BGM\hm02_13.wav","Lunch Time (Rena) ","Higurashi no Naku Koro ni ","oxvlQSktJpY",
"mod\rei\BGM\hm03_14.wav","msysre REPLACEMENT Nostalgic Guitar Drums and Strings (New)","","",
"mod\rei\BGM\hm04_18.wav","旧き想い","","",
"mod\rei\BGM\hm05_21.wav","Mazoku Kenkyuusho (Demonic Institute) ","Higurashi no Naku Koro ni ","d11-trxvJx4",
"mod\rei\BGM\hm10_54.wav","Iru ","Higurashi no Naku Koro ni Kai ","DUXfUyX7N4A",
"mod\rei\BGM\iru.wav","Iru ","Higurashi no Naku Koro ni Kai ","DUXfUyX7N4A",
"mod\rei\BGM\kaze.wav","BSFX Slow Phasor Wind (New)","","",
"mod\rei\BGM\kaze_lp.wav","BSFX Slow Muted Phasor Wind (New)","","",
"mod\rei\BGM\keihou.wav","BSFX Alarm (New)","","",
"mod\rei\BGM\liberating.wav","Liberating ","Higurashi no Naku Koro ni Kai ","3gp8n60hsmU",
"mod\rei\BGM\live_2.wav","LIVE ","Higurashi no Naku Koro ni Kai ","1GjgWuWcjBA",
"mod\rei\BGM\live_scene.wav","Conviction ","Higurashi no Naku Koro ni Kai ","RaIFoIsoAY8",
"mod\rei\BGM\mati.wav","BSFX Car and Traffic (GIN)","","",
"mod\rei\BGM\omake2.wav","You (M.Box) ","Higurashi no Naku Koro ni Kai ","QiJnstjBA9Q",
"mod\rei\BGM\pros.wav","Pros ","Higurashi no Naku Koro ni Kai ","jw8ozfMGkGI",
"mod\rei\BGM\rika.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\rei\BGM\samayoi.wav","Wandering Words Lead to Heaven ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","U8_YBSIbXR0",
"mod\rei\BGM\search_and_destroy.wav","Search and Destroy ","Higurashi no Naku Koro ni Kai ","Xvh5lbVQX0g",
"mod\rei\BGM\semi.wav","BSFX Insects 1 (GIN)","","",
"mod\rei\BGM\semi_r.wav","BSFX Creepy Cicadas (GIN)","","",
"mod\rei\BGM\song_hdbop.wav","그 앞에 있는 누군가의 웃는 얼굴을 위해 その先にある、誰かの笑顔の為に 1st verse","","",
"mod\rei\BGM\sora_no_mukou_201ver2.wav","Beyond the Skies (そらのむこう⧸Sora no Mukou) [Piano] ","Higurashi no Naku Koro ni Kai ","4utMMuBEnjs",
"mod\rei\BGM\suzu.wav","BSFX Creepy Rattle (GIN)","","",
"mod\rei\BGM\suzume.wav","BSFX Birds (GIN)","","",
"mod\rei\BGM\t1.wav","Thanks ","Higurashi no Naku Koro ni Kai ","fwjrFbTBCkc",
"mod\rei\BGM\t1_requiem.wav","Requiem for the Disaster ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","z7Q0t-WxgzI",
"mod\rei\BGM\t2.wav","Confession ","Higurashi no Naku Koro ni Kai ","6JM0QAyFj60",
"mod\rei\BGM\tsutaetaikoto_loop.wav","Things I Want to Convey (Tsutaetai Koto⧸伝えたいこと) ","Higurashi no Naku Koro ni Kai ","otdpzAe9cQo",
"mod\rei\BGM\u2_2.wav","kneecap ","Higurashi Daybreak [Disc 2] ","q3PIL4qPVVU",
"mod\rei\BGM\u2_3.wav","bright sun ","Higurashi Daybreak [Disc 2] ","1BSQveysms0",
"mod\rei\BGM\u2_rika.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\rei\BGM\yoru.wav","BSFX Insects 2 (GIN)","","",
"mod\rei\BGM\z2_hig2.wav","What is Wished ","Higurashi no Naku Koro ni Kai ","Iskv6DyiSXs",
