path, name1, source1, url1,
"mod\answer\BGM\higurashi_utu.wav","Utu ","Higurashi no Naku Koro ni Kai ","4DhtzrwhVyo",
"mod\answer\BGM\higurasi.wav","BSFX Cicadas (GIN)","","",
"mod\answer\BGM\hig_sample_kyouki.wav","Insanity (Kyoki ⧸ 狂気) ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","qsywLEgelUo",
"mod\answer\BGM\hitoe_2.wav","Single (Hitoe⧸一重) ","Higurashi no Naku Koro ni Kai ","scj4OQ_FfZE",
"mod\answer\BGM\hm01_01.wav","安息の時間","","",
"mod\answer\BGM\hm01_02.wav","大逆テン？！","","",
"mod\answer\BGM\hm01_04.wav","Night When the Invisible Scares You ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","TRF5vvM3MZU",
"mod\answer\BGM\hm01_05.wav","ちょこっとCITY TIME","","",
"mod\answer\BGM\hm01_06.wav","TRICK or TREAT","","",
"mod\answer\BGM\hm01_07.wav","Silence ","Higurashi no Naku Koro ni ","StjLCsfIbqQ",
"mod\answer\BGM\hm02_08.wav","黒い道化師","","",
"mod\answer\BGM\hm02_10.wav","神楽舞","","",
"mod\answer\BGM\hm02_11.wav","DEAD END Symphony","","",
"mod\answer\BGM\hm02_12.wav","Z・E・R・O ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","qcs2tpnQZEQ",
"mod\answer\BGM\hm02_13.wav","月光蝶","","",
"mod\answer\BGM\hm03_14.wav","迷い子たちの帰宅","","",
"mod\answer\BGM\hm04_18.wav","旧き想い","","",
"mod\answer\BGM\hm05_21.wav","Heigen wo Iku (Going to the Plains) ","Higurashi no Naku Koro ni ","3DpmpxF_VzQ",
"mod\answer\BGM\hm10_54.wav","Iru ","Higurashi no Naku Koro ni Kai ","DUXfUyX7N4A",
"mod\answer\BGM\instict.wav","Quickening (Taidou⧸胎動) ","Higurashi no Naku Koro ni Kai ","78M48YTHsbU",
"mod\answer\BGM\instict2.wav","Rain - Higurashi no Naku Koro ni Kai ","Higurashi no Naku Koro ni Kai ","mSAF8g8xWFw",
"mod\answer\BGM\iru.wav","Iru ","Higurashi no Naku Koro ni Kai ","DUXfUyX7N4A",
"mod\answer\BGM\it_move2.wav","Squall ","Higurashi no Naku Koro ni Kai ","7vNgSJmuCLw",
"mod\answer\BGM\it_moves.wav","Beat (Kodou ⧸ 鼓動) ","Higurashi no Naku Koro ni Kai ","xHV1sP8NIiw",
"mod\answer\BGM\iwakannnohatuga.wav","REPLACEMENT for Germination of Discomfort (New)","","",
"mod\answer\BGM\jikuu.wav","BSFX Mangled String Instrument (GIN)","","",
"mod\answer\BGM\kaze.wav","BSFX Slow Phasor Wind (New)","","",
"mod\answer\BGM\kaze_lp.wav","BSFX Slow Muted Phasor Wind (New)","","",
"mod\answer\BGM\keihou.wav","BSFX Alarm (New)","","",
"mod\answer\BGM\liberating.wav","Liberating ","Higurashi no Naku Koro ni Kai ","3gp8n60hsmU",
"mod\answer\BGM\livescene.wav","Conviction ","Higurashi no Naku Koro ni Kai ","RaIFoIsoAY8",
"mod\answer\BGM\live_2.wav","LIVE ","Higurashi no Naku Koro ni Kai ","1GjgWuWcjBA",
"mod\answer\BGM\live_scene.wav","Conviction ","Higurashi no Naku Koro ni Kai ","RaIFoIsoAY8",
"mod\answer\BGM\lsys13.wav","BSFX Insects 2 (GIN)","","",
"mod\answer\BGM\mati.wav","BSFX Car and Traffic (GIN)","","",
"mod\answer\BGM\maturi_01_ver2.wav","Festival (祭⧸Matsuri) ","Higurashi no Naku Koro ni Kai ","sIQffl3TtEo",
